input,expected
ᨷᩤᨱᩣᨲᩥᨷᩤ᩠ᨲ,banatibat
ᨸ᩵ᩣᩃᩮᩬᩥ᩶,paloe
ᨸᩣ᩠ᩅᨧᩱ,pawcai
ᨸᩥ᩠ᨠ,pik
ᨸᩥ᩠ᨦ,ping
ᨸᩮ᩠ᨶᨣᩤᩴᨣᩧ᩠ᨯ,penkamkued
ᨸᩮ᩠ᨶᨲᩕᩣ,pentra
ᨸᩮ᩠ᨶᨶᩣᩴ᩶ᨲᩰᩡ,pennamto
ᨸᩮ᩠ᨶᩉᩪᨸᩮ᩠ᨶᨲᩣ,penhupenta
ᨸ᩠ᩃᩣᨠᩢ᩠᩶ᨦ,plakang
ᨸ᩠ᩃᩣᨯᩩᨠᨠᩬ᩶ᨦ,pladukkoang
ᨸ᩠ᩃᩣᨲᩣᨯ᩠ᨿᩅ,platadyaw
ᨸ᩠ᩃᩥᨦᨤ᩠ᩅᩣ᩠ᨿ,plingkuaay
ᨸ᩠ᩃᩥ᩶ᩁᨧᩉ᩠ᩃᩥ᩶ᩁ,plirclir
ᨹᩋᩮᩥ᩠ᨶ,pʔoen
ᨹᩢ᩠ᨠ,pak
ᨹᩢ᩠ᨠᨡᩣᨡ᩠ᨿᨯ,pakkakyad
ᨺᩣᨧᩮᩥ᩠ᨷ,facoeb
ᨻᩕᩬ᩠᩵ᨿ,proay
ᨻᩢᨴ᩠ᨵᩈᩥᨾᩣ,pattsima
ᨻᩢ᩠ᨶᨾᩪᩃᩦ,panmuli
ᨻᩯ᩶ᨠᩯ᩠᩵ᨶᨲᩣ,paekaenta
ᨼᩬᨦᩈ᩠ᨾᩩᨴ᩠ᨴ᩺,foangsmutt
ᨽᨣᩅᩤ,pkwa
ᨾᩬᨠᨠᩣᩴᨻᩬᩴ,moakkampoa
ᨾᩦ᩠ᨯᨸ᩠ᩃᩣ᩠ᨿᩅ᩶ᩤ᩠ᨿ,midplayway
ᨾᩮᩢᩣᨠᩣ᩠ᩁ,maokar
ᨾᩮᩢᩣᨠ᩠ᩃᩮᩢᩣ,maoklao
ᨾᩯ᩵ᨸᨲᩪ,maeptu
ᨾᩰ᩠ᨯ,mod
ᨿᩬᩢᨠᨿᩯᩢ᩠ᨠ,yoakyaek
ᨿᩣᨶ,yan
ᨿᩯᩢ᩠ᨷ,yaeb
ᨿᩯ᩠᩶ᨾ,yaem
ᨿᩰ,yo
ᨿ᩠ᩅ᩠᩶ᨿ,yuay
ᩀ᩠ᨿᨷ,yyab
ᩁᩬ᩵ᨦᩉ᩠ᨾᩮᩬᩥᨦ,roangmoeng
ᩁᩣᩴ,ram
ᩁᩪᨷ᩵ᩤᨲᩬ᩵ᨾ,rubatoam
ᩁᩮᩬᩥᩁ,roer
ᩁ᩠ᨿᨠᨡ᩠ᩅᩢᩁ,ryakkuar
ᩁ᩠ᨿᨦ,ryang
ᩃᩃᩮ᩠ᨦ,lleng
ᩃᩫ᩠ᨦ,long
ᩃᩬᩴ᩵ᨧᩱᩉᩣ,loacaiha
ᩃᩣ᩠ᨿᨻᩕᩬ᩠᩶ᨿ,layproay
ᩃᩮᩢ᩶ᩣᨡᩮᩢ᩶ᩣ,laokao
ᩃᩮᩥ᩠ᨠᩈᩣᩈᨶᩣ,loeksasna
ᩃ᩠ᩅᨦᨡ᩠ᩅᩣ᩠ᨦ,luangkuaang
ᩃ᩠ᩅᨦᨸᩯ,luangpae
ᩃ᩠ᩅᨯᨷᩴ᩵ᨯᩦᩐᩣ,luadboadiʔao
ᩅᩦ᩵ᩅᩢ᩠ᨶ,wiwan
ᩅᩮᨴᩥᨲᨻᩛᩮᩣ,wetitppo
ᩅᩮᩔᨽᩪ,wesspu
ᩅᩮᩢ᩶ᩤ,wao
ᩆᩩᨠᩃᨷᩢᨠ᩠ᩇ,suklbaks
ᩈᨦ᩠ᨣᩣᨿᨶᩣ,sngkayna
ᩈᨾᩩᨴ᩠ᨴᩈᩣᨣᩬᩁ,smuttsakoar
ᩈᨾᩩᩃ᩠ᩃᩅᩯ᩠ᨦ,smullwaeng
ᩈᨾ᩠ᨾᩣᩈᨾᩛᩩᨴ᩠ᨵ,smmasmputt
ᩈᩃᩦᩃᩮᩢᩣ,slilao
ᩈ᩵ᩣᨡᩱ᩶,sakai
ᩈᩣ᩠ᨿᩉ᩠ᨶᩬ᩵ᨦᨣᩤ᩠ᩅ,saynoangkaw
ᩈᩥ᩠ᨠᨸᩫ᩠ᨠ,sikpok
ᩈᩦ᩵ᨩᩬᩢᨠᩉ᩶ᩣᨧᩯ᩠᩵ᨦ,sicoakhacaeng
ᩈᩦᩉᩁᩣ᩠ᨩ,sihrac
ᩈᩧ᩠᩵ᨦ᩻ᩉ᩠ᩃᩧ᩵ᨦ᩻,suenglueng
ᩈᩨ᩠ᨷᨾᩨ᩶,suebmue
ᩈᩩ᩠ᨿ,suy
ᩈᩮᨴᨩ,setc
ᩈᩮᩬᩥ᩵ᩋ,soeʔ
ᩈᩯ᩠ᨦᨠᩯ᩠᩶ᩅ,saengkaew
ᩈ᩠ᩃᩥ᩻ᨯᨸᩥ᩠ᨯᨻ᩵ᩣ᩠ᨦ,slidpidpang
ᩉᩬᩴᨵᩢᨾ᩠ᨾ᩺,hoatamm
ᩉᩬᩴᩁᨯᩣ᩠ᩃ,hoardal
ᩉᩮᩢ᩠ᨠᨠᩕᨯᩰ᩠ᨦ,hekkrdong
ᩉᩯ,hae
ᩉᩯ᩠᩶ᨦᩉᩮᩬᩥᨯ,haenghoed
ᩉᩯ᩠ᨾᨴᩮᩬᩥ᩵ᩋ,haemtoeʔ
ᩉ᩠ᨶ᩶ᩣᨠ᩵ᩣ᩠ᨿᨡᩨ᩵ᨠ᩵ᩣ᩠ᨿᨸᩯ,nakaykuekaypae
ᩉ᩠ᨶ᩶ᩣᨾᩬᨯ,namoad
ᩉ᩠ᨶ᩶ᩣᩈᩦ᩵ᨩᩬᩢᨠᩉ᩶ᩣᨧᩯ᩠᩵ᨦ,nasicoakhacaeng
ᩉ᩠ᨶ᩶ᩣᩉ᩠ᨶᩯᨷ,nanaeb
ᩉ᩠ᨶ᩠ᨿ᩵ᩅ,nyaw
ᩉ᩠ᨾᩬᩴ,moa
ᩉ᩠ᨾ᩵ᩣ᩠ᨦ,mang
ᩉ᩠ᨾᩧᨠᨡᩣᨿᩣ᩠ᨦ,muekkayang
ᩉ᩠ᨿᨠ,yk
ᩉ᩠ᨿᩫᨠ,yok
ᩉ᩠ᨿᩬ᩶ᨦᩉ᩠ᨿᩯ᩶ᨦ,yoangyaeng
ᩉ᩠ᨿ᩠ᨿ᩶ᨾ,yyam
ᩉ᩠ᩃᩫ᩶ᨾᨩᩬ᩵ᨦ,lomcoang
ᩉ᩠ᩃᩬ᩵ᩁ,loar
ᩉ᩠ᩃᩯ᩶ᨾ,laem
ᩉ᩠ᩃᩯᩅ,laew
ᩉ᩠ᩃ᩠᩶ᨿᨾ,lyam
ᩉ᩠ᩅᩫᩃᩬᨠ,woloak
ᩉ᩠ᩅ᩠ᩅᨠ,wuak
ᩉ᩠ᩅ᩠ᩅᩫ,wua
ᩋᨠ᩠ᨡᩮᩣᨽᩥᨱᩦ,ʔkkopini
ᩋᩫ᩠ᨦᨤᩣ᩠ᨶ,ʔongkan
ᩋᩣ,ʔa
ᩋ᩶ᩣ᩠ᨶᩋᩬᩴ᩶,ʔanʔoa
ᩋᩨ,ʔue
ᩋᩪ᩶ᩃ᩵ᩣ᩠ᨿᩋᩪ᩶ᩃ᩵ᩣ᩠ᩅ,ʔulayʔulaw
ᩋᩮᩬᩥ᩶ᨦ,ʔoeng
ᩋᩮᩬᩥ᩶ᨦᨦᩫ᩠ᨷ,ʔoengngob
ᩋᩮᩬᩥᩁ,ʔoer
ᩋᩮ᩠ᨠ,ʔek
ᩋᩯᩢ᩠ᨷ,ʔaeb
ᩋᩯ᩠ᩅ᩵,ʔaew
ᩓ᩠ᩅᨧᩱ,laewcai
ᩐᩣᨧᩱ,ʔaocai
